Subprograma,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima,trienio,ano_inicial,ano_final,indice_trienio,curso_campus,curso_turno,curso_modalidade,curso_campus_turno,curso_modalidade_campus,curso_modalidade_turno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-50.128,18.233,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R1_PPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R1_PPI | Ceilândia,Enfermagem (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-16.36,12.216,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R1_NPPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R1_NPPI | Ceilândia,Enfermagem (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-20.508,11.174,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R2_PPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R2_PPI | Ceilândia,Enfermagem (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,12.11,43.716,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R2_NPPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R2_NPPI | Ceilândia,Enfermagem (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,6.016,17.233,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | CN,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | CN | Ceilândia,Enfermagem (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,9.2,70.871,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | AC,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | AC | Ceilândia,Enfermagem (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-39.519,-39.519,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R1_PPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R1_PPI | Ceilândia,Farmácia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-60.347,21.528,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R1_NPPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R1_NPPI | Ceilândia,Farmácia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-83.874,19.707,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R2_PPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R2_PPI | Ceilândia,Farmácia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-76.441,-2.832,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R2_NPPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R2_NPPI | Ceilândia,Farmácia (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-26.27,-25.843,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | CN,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | CN | Ceilândia,Farmácia (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,AC,AC,False,,,False,,-85.275,81.955,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | AC,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | AC | Ceilândia,Farmácia (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-16.495,13.421,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R1_PPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R1_PPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-31.032,13.229,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R1_NPPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R1_NPPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-26.611,40.374,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R2_PPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R2_PPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-1.995,27.517,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R2_NPPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R2_NPPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,10.489,34.882,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | CN,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | CN | Ceilândia,Fisioterapia (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,AC,AC,False,,,False,,5.582,54.666,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | AC,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | AC | Ceilândia,Fisioterapia (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-5.802,-5.802,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_PPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_PPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-33.514,0.916,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_NPPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_NPPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-40.393,-16.378,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_PPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_PPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-75.822,6.478,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_NPPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_NPPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-28.93,45.132,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | CN,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | CN | Ceilândia,Fonoaudiologia (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,AC,AC,False,,,False,,-40.855,57.282,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | AC,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | AC | Ceilândia,Fonoaudiologia (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-82.285,-1.885,2018-2020,2018,2020,1,Saúde Coletiva (Bacharelado) | Ceilândia,Saúde Coletiva (Bacharelado) | Diurno,Saúde Coletiva (Bacharelado) | EP_R1_PPI,Saúde Coletiva (Bacharelado) | Ceilândia | Diurno,Saúde Coletiva (Bacharelado) | EP_R1_PPI | Ceilândia,Saúde Coletiva (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-71.408,-43.768,2018-2020,2018,2020,1,Saúde Coletiva (Bacharelado) | Ceilândia,Saúde Coletiva (Bacharelado) | Diurno,Saúde Coletiva (Bacharelado) | EP_R1_NPPI,Saúde Coletiva (Bacharelado) | Ceilândia | Diurno,Saúde Coletiva (Bacharelado) | EP_R1_NPPI | Ceilândia,Saúde Coletiva (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-63.379,-4.543,2018-2020,2018,2020,1,Saúde Coletiva (Bacharelado) | Ceilândia,Saúde Coletiva (Bacharelado) | Diurno,Saúde Coletiva (Bacharelado) | EP_R2_PPI,Saúde Coletiva (Bacharelado) | Ceilândia | Diurno,Saúde Coletiva (Bacharelado) | EP_R2_PPI | Ceilândia,Saúde Coletiva (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-62.249,-43.547,2018-2020,2018,2020,1,Saúde Coletiva (Bacharelado) | Ceilândia,Saúde Coletiva (Bacharelado) | Diurno,Saúde Coletiva (Bacharelado) | EP_R2_NPPI,Saúde Coletiva (Bacharelado) | Ceilândia | Diurno,Saúde Coletiva (Bacharelado) | EP_R2_NPPI | Ceilândia,Saúde Coletiva (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,AC,AC,False,,,False,,-87.136,-3.078,2018-2020,2018,2020,1,Saúde Coletiva (Bacharelado) | Ceilândia,Saúde Coletiva (Bacharelado) | Diurno,Saúde Coletiva (Bacharelado) | AC,Saúde Coletiva (Bacharelado) | Ceilândia | Diurno,Saúde Coletiva (Bacharelado) | AC | Ceilândia,Saúde Coletiva (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-92.652,-4.201,2018-2020,2018,2020,1,Terapia Ocupacional (Bacharelado) | Ceilândia,Terapia Ocupacional (Bacharelado) | Diurno,Terapia Ocupacional (Bacharelado) | EP_R1_NPPI,Terapia Ocupacional (Bacharelado) | Ceilândia | Diurno,Terapia Ocupacional (Bacharelado) | EP_R1_NPPI | Ceilândia,Terapia Ocupacional (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-45.148,-25.927,2018-2020,2018,2020,1,Terapia Ocupacional (Bacharelado) | Ceilândia,Terapia Ocupacional (Bacharelado) | Diurno,Terapia Ocupacional (Bacharelado) | EP_R2_PPI,Terapia Ocupacional (Bacharelado) | Ceilândia | Diurno,Terapia Ocupacional (Bacharelado) | EP_R2_PPI | Ceilândia,Terapia Ocupacional (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-74.63,27.307,2018-2020,2018,2020,1,Terapia Ocupacional (Bacharelado) | Ceilândia,Terapia Ocupacional (Bacharelado) | Diurno,Terapia Ocupacional (Bacharelado) | EP_R2_NPPI,Terapia Ocupacional (Bacharelado) | Ceilândia | Diurno,Terapia Ocupacional (Bacharelado) | EP_R2_NPPI | Ceilândia,Terapia Ocupacional (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,5.337,6.491,2018-2020,2018,2020,1,Terapia Ocupacional (Bacharelado) | Ceilândia,Terapia Ocupacional (Bacharelado) | Diurno,Terapia Ocupacional (Bacharelado) | CN,Terapia Ocupacional (Bacharelado) | Ceilândia | Diurno,Terapia Ocupacional (Bacharelado) | CN | Ceilândia,Terapia Ocupacional (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,AC,AC,False,,,False,,-73.944,20.377,2018-2020,2018,2020,1,Terapia Ocupacional (Bacharelado) | Ceilândia,Terapia Ocupacional (Bacharelado) | Diurno,Terapia Ocupacional (Bacharelado) | AC,Terapia Ocupacional (Bacharelado) | Ceilândia | Diurno,Terapia Ocupacional (Bacharelado) | AC | Ceilândia,Terapia Ocupacional (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-32.289,-1.11,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R1_PPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-90.624,-3.524,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R1_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-66.919,-1.149,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R2_PPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-80.471,-26.835,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R2_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-40.808,3.022,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | CN | Darcy Ribeiro,Administração (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,-5.813,69.035,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | AC | Darcy Ribeiro,Administração (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,2.342,2.342,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | EP_R1_PPI,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R1_PPI | Noturno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-64.264,-17.504,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | EP_R1_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R1_NPPI | Noturno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-74.731,-4.551,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | EP_R2_PPI,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R2_PPI | Noturno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-30.302,31.847,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | EP_R2_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Administração (Bacharelado) | EP_R2_NPPI | Noturno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-3.806,1.212,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | CN | Darcy Ribeiro,Administração (Bacharelado) | CN | Noturno
2018-2020,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-98.9,38.986,2018-2020,2018,2020,1,Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | AC | Darcy Ribeiro,Administração (Bacharelado) | AC | Noturno
2018-2020,2020,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-73.408,-29.038,2018-2020,2018,2020,1,Agronomia (Bacharelado) | Darcy Ribeiro,Agronomia (Bacharelado) | Diurno,Agronomia (Bacharelado) | EP_R1_PPI,Agronomia (Bacharelado) | Darcy Ribeiro | Diurno,Agronomia (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Agronomia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-64.547,-64.547,2018-2020,2018,2020,1,Agronomia (Bacharelado) | Darcy Ribeiro,Agronomia (Bacharelado) | Diurno,Agronomia (Bacharelado) | EP_R1_NPPI,Agronomia (Bacharelado) | Darcy Ribeiro | Diurno,Agronomia (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Agronomia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-67.906,-36.5,2018-2020,2018,2020,1,Agronomia (Bacharelado) | Darcy Ribeiro,Agronomia (Bacharelado) | Diurno,Agronomia (Bacharelado) | EP_R2_PPI,Agronomia (Bacharelado) | Darcy Ribeiro | Diurno,Agronomia (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Agronomia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-58.889,21.927,2018-2020,2018,2020,1,Agronomia (Bacharelado) | Darcy Ribeiro,Agronomia (Bacharelado) | Diurno,Agronomia (Bacharelado) | EP_R2_NPPI,Agronomia (Bacharelado) | Darcy Ribeiro | Diurno,Agronomia (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Agronomia (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-56.023,-9.606,2018-2020,2018,2020,1,Agronomia (Bacharelado) | Darcy Ribeiro,Agronomia (Bacharelado) | Diurno,Agronomia (Bacharelado) | CN,Agronomia (Bacharelado) | Darcy Ribeiro | Diurno,Agronomia (Bacharelado) | CN | Darcy Ribeiro,Agronomia (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-82.562,39.359,2018-2020,2018,2020,1,Agronomia (Bacharelado) | Darcy Ribeiro,Agronomia (Bacharelado) | Diurno,Agronomia (Bacharelado) | AC,Agronomia (Bacharelado) | Darcy Ribeiro | Diurno,Agronomia (Bacharelado) | AC | Darcy Ribeiro,Agronomia (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-44.527,18.536,2018-2020,2018,2020,1,Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado) | Diurno,Arquitetura e Urbanismo (Bacharelado) | EP_R1_PPI,Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno,Arquitetura e Urbanismo (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado) | EP_R1_PPI | Diurno
